n_user: 974, n_item: 1015
metapath: UB, epoch 4250: loss = 132.774689, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4300: loss = 165.340927, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4350: loss = 231.285217, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4400: loss = 327.045441, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4450: loss = 445.379913, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4500: loss = 579.637268, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4550: loss = 723.748596, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4600: loss = 871.891479, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4650: loss = 1018.397522, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4700: loss = 1157.808838, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4750: loss = 1285.001953, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4800: loss = 1395.336182, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4850: loss = 1484.799194, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4900: loss = 1550.141113, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 4950: loss = 1588.986328, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 5000: loss = 1599.915283, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
n_user: 974, n_item: 1015
metapath: UBUB, epoch 0: loss = 346188.500000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 50: loss = 346188.375000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 100: loss = 346188.062500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 150: loss = 346187.562500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 200: loss = 346186.906250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 250: loss = 346186.031250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 300: loss = 346185.031250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 350: loss = 346183.968750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 400: loss = 346182.750000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 450: loss = 346181.531250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 500: loss = 346180.156250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 550: loss = 346178.750000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 600: loss = 346177.281250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 650: loss = 346175.687500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 700: loss = 346174.000000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 750: loss = 346172.218750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 800: loss = 346170.250000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 850: loss = 346168.031250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 900: loss = 346165.531250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 950: loss = 346162.625000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1000: loss = 346159.343750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1050: loss = 346155.531250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1100: loss = 346151.281250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1150: loss = 346146.906250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1200: loss = 346141.843750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1250: loss = 346135.750000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1300: loss = 346128.437500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1350: loss = 346119.593750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1400: loss = 346108.906250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1450: loss = 346096.187500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1500: loss = 346080.937500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1550: loss = 346062.718750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1600: loss = 346041.062500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1650: loss = 346015.218750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1700: loss = 345984.500000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1750: loss = 345947.875000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1800: loss = 345904.343750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1850: loss = 345852.468750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1900: loss = 345790.781250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 1950: loss = 345717.312500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2000: loss = 345629.937500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2050: loss = 345525.968750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2100: loss = 345402.312500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2150: loss = 345255.250000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2200: loss = 345080.375000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2250: loss = 344872.531250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2300: loss = 344625.468750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2350: loss = 344331.968750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2400: loss = 343983.281250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2450: loss = 343569.125000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2500: loss = 343077.187500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2550: loss = 342492.937500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2600: loss = 341799.125000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2650: loss = 340975.218750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2700: loss = 339996.687500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2750: loss = 338834.781250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2800: loss = 337454.843750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2850: loss = 335816.218750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2900: loss = 333870.218750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 2950: loss = 331559.156250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3000: loss = 328814.718750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3050: loss = 325555.718750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3100: loss = 321685.718750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3150: loss = 317090.562500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3200: loss = 311634.812500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3250: loss = 305158.062500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3300: loss = 297470.468750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3350: loss = 288347.562500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3400: loss = 277524.500000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3450: loss = 264689.406250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3500: loss = 249476.859375, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3550: loss = 231461.796875, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3600: loss = 210156.859375, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3650: loss = 185020.750000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3700: loss = 155501.984375, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3750: loss = 121213.976562, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3800: loss = 82759.054688, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3850: loss = 47494.718750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3900: loss = 52174.980469, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 3950: loss = 89241.125000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4000: loss = 122771.781250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4050: loss = 143950.484375, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4100: loss = 149997.578125, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4150: loss = 140260.281250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4200: loss = 115813.507812, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4250: loss = 80202.632812, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4300: loss = 45953.972656, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4350: loss = 54237.917969, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4400: loss = 92060.515625, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4450: loss = 129732.390625, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4500: loss = 162886.812500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4550: loss = 191326.453125, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4600: loss = 215509.093750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4650: loss = 235991.718750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4700: loss = 253304.812500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4750: loss = 267921.156250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4800: loss = 280251.375000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4850: loss = 290647.687500, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4900: loss = 299410.125000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 4950: loss = 306793.593750, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UBUB, epoch 5000: loss = 313013.875000, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
n_user: 974, n_item: 1015
metapath: UUB, epoch 0: loss = 5299.624512, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 50: loss = 5296.599121, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 100: loss = 5287.820312, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 150: loss = 5273.810547, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 200: loss = 5255.385742, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 250: loss = 5233.595215, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
